Variable,Simple_Average,Population_Weighted_Average
time,130320.0,
lon,90.3125,
lon_bnds,90.3125,
lat,23.75,
lat_bnds,23.75,
lev,0.46338201626692366,
lev_bnds,0.46346220749963646,
AREA,0.0,0.0
AerMassASOA,0.0,0.0
AerMassBC,0.11256160587072372,0.14356579687828389
AerMassHMS,0.008719169534742832,0.008371278471796178
AerMassINDIOL,-0.022670047357678413,-0.021769188766905048
AerMassLVOCOA,-0.00015006371540948749,-0.00011301333591385466
AerMassNH4,0.06134350970387459,0.06506366893476205
AerMassNIT,0.08167418837547302,0.08131386057904039
AerMassOPOA,0.0,0.0
AerMassPOA,0.02119803987443447,0.028312921810806732
AerMassSAL,1.8098701559665642e-07,2.3687495229989247e-09
AerMassSO4,0.09690133482217789,0.10732214608663192
AerMassSOAGX,-0.000272371486062184,-0.00022142299069477392
AerMassSOAIE,-0.0005391729646362364,-0.0004022042306530819
AerMassTSOA,0.0,0.0
BetaNO,0.0,0.0
PM10,0.5088352560997009,0.5914672560322334
PM25,0.5088339447975159,0.591466081875268
TotalBiogenicOA,-0.0009617929463274777,-0.000736741723485954
TotalOA,0.02023635245859623,0.02757650990787783
TotalOC,0.0,0.0
